顶,#genre#
CCTV-1,https://live.goodiptv.club/api/sxg.php?id=CCTV-1H265_4000
CCTV-2,https://live.goodiptv.club/api/sxg.php?id=CCTV-2H265_4000


3野食小哥,https://www.goodiptv.club/douyu/1443964

CCTV-4,https://live.goodiptv.club/api/cqyx.php?id=cctv4HD
CCTV-4,https://live.goodiptv.club/api/yqgd.php?id=cctv4
CCTV-4,https://live.goodiptv.club/api/sxg.php?id=CCTV-4H265_4000

CCTV-5,https://live.goodiptv.club/api/sxg.php?id=CCTV-5H265_4000
CCTV-6,https://live.goodiptv.club/api/sxg.php?id=CCTV-6H265_4000

CCTV-5+ 体育赛事,https://live.goodiptv.club/api/sxg.php?id=CCTV-5plusH265_4000

CCTV9纪录,https://live.goodiptv.club/api/sxg.php?id=CCTV-9H265_4000
CCTV-9纪录,https://live.goodiptv.club/api/sxg.php?id=CCTV-9H265_4000
CCTV-10 科教,https://live.goodiptv.club/api/sxg.php?id=CCTV-10H265_4000
CCTV-11 戏曲,https://live.goodiptv.club/api/sxg.php?id=CCTV-11H265_4000

CCTV5+ 体育赛事,https://live.goodiptv.club/api/sxg.php?id=CCTV-5plusH265_4000
CCTV-13 新闻,https://live.goodiptv.club/api/sxg.php?id=CCTV-xw_4000

CCTV-9,https://live.goodiptv.club/api/sxg.php?id=CCTV-9H265_4000

CCTV-9_纪录,https://live.goodiptv.club/api/sxg.php?id=CCTV-9H265_4000
CCTV16 奥林匹克,https://live.goodiptv.club/api/sxg.php?id=CCTV-16_4000

CCTV11,http://[2409:8087:2001:20:2800:0:df6e:eb23]/ott.mobaibox.com/PLTV/4/224/3221228289/index.m3u8
寰宇新闻台,mitv://135.148.104.228:19806/cfebef54166f47ff9658a5ddf9524886

besttvCCTV4,https://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000
ghyxCCTV4,https://live.goodiptv.club/api/ghyx.php?id=CCTV4HD_6000
aishangCCTV4,https://live.goodiptv.club/aishang/cctv4hd
cqyxCCTV4,https://live.goodiptv.club/api/cqyx.php?id=cctv4HD
yqgdCCTV4,https://live.goodiptv.club/api/yqgd.php?id=cctv4
sxgCCTV4,https://live.goodiptv.club/api/sxg.php?id=CCTV-4H265_4000
aptv-4-v4,http://live.aptvapp.com/PLTV/bestv.php?id=cctv4hd8m/8000000
aptv-4-v6,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228156/index.m3u8
aptv-蜀小果IPV6,http://live.aptvapp.com/sxg.php?id=CCTV-4H265_4000
yang-4,https://tv.iill.top/bestv/cctv4hd8m/8000000
whpsky-4-v6,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001333/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
whpsky-4-v6,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228156/index.m3u8
zbefine-4HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8
zbefine-4HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
yuechan-4-v6,http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw3772680253_-1555628407/ott.mobaibox.com/PLTV/3/224/3221227549/index.m3u8?icpid=3&RTS=1668594272&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
fanmingming-4-v6,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001221/index.m3u8
zhanghongguang-4-v6,http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw3772680253_-1555628407/ott.mobaibox.com/PLTV/3/224/3221227549/index.m3u8?icpid=3&RTS=1668594272&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
zhanghongguang-4-shanghai-v6,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001221/index.m3u8
zhanghongguang-4-jiangsumb,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228156/index.m3u8
zhanghongguang-4-jiangsumb,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221227683/index.m3u8
zhanghongguang-4-jiangsumb,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221227658/index.m3u8
